Location_Name,Location_Type,Location_code,STATE,event_name,agrn,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDRP,DRA,hazard_type,disaster_start_date
Albury,LGA,10050,New South Wales,New South Wales flooding: October 2010,417,0,0,0,0,unknown,0,0,Flood,2010-10-01
Albury,LGA,10050,New South Wales,New South Wales floods: February 2011,430,0,0,0,0,unknown,0,0,Flood,2011-02-04
Albury,LGA,10050,New South Wales,Southern New South Wales flooding: February to March 2012,479,0,0,0,0,unknown,0,0,Flood,2012-02-28
Albury,LGA,10050,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,0,0,Bushfire,2013-01-01
Albury,LGA,10050,New South Wales,NSW Inland Storms and Floods (from 30 August 2016),731,0,0,0,0,unknown,0,0,"Flood, Rainfall, Storm",2016-08-30
Albury,LGA,10050,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),1001,1,1,0,1,C/D,0,0,Flood,2022-01-05
Albury,LGA,10050,New South Wales,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),1030,1,1,0,1,C/D,0,0,Flood,2022-08-04
Albury,LGA,10050,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14
Armidale,LGA,10180,New South Wales,Armidale hailstorm: December 2006,241,0,0,0,0,unknown,0,0,Hailstorm,2006-12-21
Armidale,LGA,10180,New South Wales,New South Wales-floods: 26 December 2010 to January 2011,425,0,0,0,0,unknown,0,0,Flood,2010-12-26
Armidale,LGA,10180,New South Wales,New South Wales floods: February 2011,430,0,0,0,0,unknown,0,0,Flood,2011-02-04
Armidale,LGA,10180,New South Wales,New South Wales-Mid North Coast floods: 12 to 15 June 2011,451,0,0,0,0,unknown,0,0,Flood,2011-06-12
Armidale,LGA,10180,New South Wales,New South Wales-Northern New South Wales floods: 22 to 30 November 2011,463,0,0,0,0,unknown,0,0,Flood,2011-11-22
Armidale,LGA,10180,New South Wales,Armidale bushfire: 20 October 2012,507,0,0,0,0,unknown,0,0,Bushfire,2012-10-20
Armidale,LGA,10180,New South Wales,North Coast storms and floods: 26 January 2013,545,0,0,0,0,unknown,0,0,"Flood, Storm",2013-01-26
Armidale,LGA,10180,New South Wales,East coast severe weather and floods: 19 February 2013,549,0,0,0,0,unknown,0,0,"Flood, Weather event",2013-02-19
Armidale,LGA,10180,New South Wales,Severe weather (including Guyra tornadoes): 22 to 23 November 2013,593,0,0,0,0,unknown,0,0,"Tornado, Weather event",2013-11-22
Armidale,LGA,10180,New South Wales,NSW Storms and Floods: 20 December 2018,834,1,1,1,0,C/D,0,0,"Flood, Storm",2018-12-20
Armidale,LGA,10180,New South Wales,Northern NSW Bushfires: 11 February 2019 onwards,843,1,1,0,0,A/B,1,1,Bushfire,2019-02-11
Armidale,LGA,10180,New South Wales,Armidale (Melrose) Bushfire: 1 December 2018 onwards,847,1,1,0,0,A/B,0,0,Bushfire,2018-12-01
Armidale,LGA,10180,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,1,1,Bushfire,2019-08-31
Armidale,LGA,10180,New South Wales,NSW Storms and Floods: 15 January 2020 onwards,898,1,1,0,0,A/B,0,0,"Flood, Storm",2020-01-15
Armidale,LGA,10180,New South Wales,AGRN 936 - NSW Storms and Floods (20 October 2020 onwards),936,1,1,0,0,A/B,0,0,Storm,2020-10-20
Armidale,LGA,10180,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),943,1,1,0,0,A/B,0,0,Storm,2020-12-10
Armidale,LGA,10180,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Armidale,LGA,10180,New South Wales,AGRN 979 - NSW - Armidale Storm (14 October 2021),979,1,1,0,0,A/B,0,0,Storm,2021-10-14
Armidale,LGA,10180,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Armidale,LGA,10180,New South Wales,AGRN 1071 - North Eastern NSW Bushfires (21 August 2023 onwards),1071,0,1,0,0,A/B,0,0,Bushfire,2023-08-21
