pair,category,hazard_group,raw_hazard_group,activations,step,x,y
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,0,-0.866,0.5
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,1,-0.8187,0.452
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,2,-0.7692,0.4022
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,3,-0.7176,0.3505
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,4,-0.6637,0.2969
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,5,-0.6075,0.2416
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,6,-0.5491,0.1847
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,7,-0.4886,0.1262
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,8,-0.4263,0.0665
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,9,-0.3623,0.0059
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,10,-0.297,-0.0554
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,11,-0.2307,-0.1171
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,12,-0.1638,-0.1787
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,13,-0.0965,-0.2401
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,14,-0.0293,-0.3007
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,15,0.0375,-0.3604
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,16,0.1034,-0.4189
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,17,0.1683,-0.4758
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,18,0.2318,-0.5309
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,19,0.2937,-0.5841
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,20,0.3537,-0.6353
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,21,0.4117,-0.6843
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,22,0.4677,-0.7312
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,23,0.5216,-0.7762
unknown|Flood / Rainfall,Unclassified,Flood / Rain,Flood / Rainfall,1824,24,0.5736,-0.8192
unknown|Storm,Unclassified,Storm,Storm,469,0,-0.866,0.5
unknown|Storm,Unclassified,Storm,Storm,469,1,-0.8032,0.4722
unknown|Storm,Unclassified,Storm,Storm,469,2,-0.7378,0.4432
unknown|Storm,Unclassified,Storm,Storm,469,3,-0.6697,0.4129
unknown|Storm,Unclassified,Storm,Storm,469,4,-0.599,0.3812
unknown|Storm,Unclassified,Storm,Storm,469,5,-0.5256,0.3483
unknown|Storm,Unclassified,Storm,Storm,469,6,-0.4498,0.3141
unknown|Storm,Unclassified,Storm,Storm,469,7,-0.3717,0.2786
unknown|Storm,Unclassified,Storm,Storm,469,8,-0.2916,0.2421
unknown|Storm,Unclassified,Storm,Storm,469,9,-0.2098,0.2047
unknown|Storm,Unclassified,Storm,Storm,469,10,-0.1268,0.1664
unknown|Storm,Unclassified,Storm,Storm,469,11,-0.043,0.1276
unknown|Storm,Unclassified,Storm,Storm,469,12,0.0413,0.0885
unknown|Storm,Unclassified,Storm,Storm,469,13,0.1254,0.0491
unknown|Storm,Unclassified,Storm,Storm,469,14,0.209,0.0098
unknown|Storm,Unclassified,Storm,Storm,469,15,0.2917,-0.0292
unknown|Storm,Unclassified,Storm,Storm,469,16,0.3729,-0.0677
unknown|Storm,Unclassified,Storm,Storm,469,17,0.4523,-0.1056
unknown|Storm,Unclassified,Storm,Storm,469,18,0.5297,-0.1427
unknown|Storm,Unclassified,Storm,Storm,469,19,0.6047,-0.1788
unknown|Storm,Unclassified,Storm,Storm,469,20,0.6771,-0.2138
unknown|Storm,Unclassified,Storm,Storm,469,21,0.7468,-0.2476
unknown|Storm,Unclassified,Storm,Storm,469,22,0.8137,-0.2803
unknown|Storm,Unclassified,Storm,Storm,469,23,0.878,-0.3117
unknown|Storm,Unclassified,Storm,Storm,469,24,0.9397,-0.342
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,0,-0.866,0.5
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,1,-0.8032,0.5011
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,2,-0.7378,0.502
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,3,-0.6697,0.5023
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,4,-0.599,0.5021
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,5,-0.5256,0.5012
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,6,-0.4498,0.4996
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,7,-0.3717,0.4971
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,8,-0.2916,0.4938
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,9,-0.2098,0.4896
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,10,-0.1268,0.4845
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,11,-0.043,0.4785
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,12,0.0413,0.4715
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,13,0.1254,0.4637
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,14,0.209,0.4551
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,15,0.2917,0.4457
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,16,0.3729,0.4357
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,17,0.4523,0.425
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,18,0.5297,0.4139
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,19,0.6047,0.4023
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,20,0.6771,0.3905
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,21,0.7468,0.3784
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,22,0.8137,0.3662
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,23,0.878,0.3541
unknown|Bushfire,Unclassified,Bushfire,Bushfire,421,24,0.9397,0.342
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,0,-0.866,0.5
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,1,-0.8187,0.5213
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,2,-0.7692,0.543
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,3,-0.7176,0.5647
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,4,-0.6637,0.5864
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,5,-0.6075,0.6079
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,6,-0.5491,0.629
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,7,-0.4886,0.6495
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,8,-0.4263,0.6694
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,9,-0.3623,0.6884
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,10,-0.297,0.7063
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,11,-0.2307,0.7232
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,12,-0.1638,0.7387
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,13,-0.0965,0.7529
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,14,-0.0293,0.7657
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,15,0.0375,0.777
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,16,0.1034,0.7868
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,17,0.1683,0.7952
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,18,0.2318,0.8021
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,19,0.2937,0.8076
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,20,0.3537,0.8119
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,21,0.4117,0.815
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,22,0.4677,0.8172
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,23,0.5216,0.8185
unknown|Cyclone / Tropical Low,Unclassified,Cyclone,Cyclone / Tropical Low,198,24,0.5736,0.8192
unknown|Other,Unclassified,Other,Other,37,0,-0.866,0.5
unknown|Other,Unclassified,Other,Other,37,1,-0.8429,0.529
unknown|Other,Unclassified,Other,Other,37,2,-0.8185,0.5585
unknown|Other,Unclassified,Other,Other,37,3,-0.7926,0.5883
unknown|Other,Unclassified,Other,Other,37,4,-0.765,0.6183
unknown|Other,Unclassified,Other,Other,37,5,-0.7357,0.6483
unknown|Other,Unclassified,Other,Other,37,6,-0.7046,0.678
unknown|Other,Unclassified,Other,Other,37,7,-0.6718,0.7073
unknown|Other,Unclassified,Other,Other,37,8,-0.6374,0.7359
unknown|Other,Unclassified,Other,Other,37,9,-0.6013,0.7637
unknown|Other,Unclassified,Other,Other,37,10,-0.5637,0.7904
unknown|Other,Unclassified,Other,Other,37,11,-0.5249,0.8159
unknown|Other,Unclassified,Other,Other,37,12,-0.485,0.84
unknown|Other,Unclassified,Other,Other,37,13,-0.4442,0.8625
unknown|Other,Unclassified,Other,Other,37,14,-0.4027,0.8834
unknown|Other,Unclassified,Other,Other,37,15,-0.3608,0.9026
unknown|Other,Unclassified,Other,Other,37,16,-0.3187,0.9199
unknown|Other,Unclassified,Other,Other,37,17,-0.2766,0.9355
unknown|Other,Unclassified,Other,Other,37,18,-0.2349,0.9492
unknown|Other,Unclassified,Other,Other,37,19,-0.1936,0.9613
unknown|Other,Unclassified,Other,Other,37,20,-0.153,0.9717
unknown|Other,Unclassified,Other,Other,37,21,-0.1132,0.9806
unknown|Other,Unclassified,Other,Other,37,22,-0.0744,0.9881
unknown|Other,Unclassified,Other,Other,37,23,-0.0366,0.9945
unknown|Other,Unclassified,Other,Other,37,24,0.0,1.0
A/B|Flood / Rainfall,A/B,Flood / Rain,Flood / Rainfall,771,0,-1.0,0.0
A/B|Flood / Rainfall,A/B,Flood / Rain,Flood / Rainfall,771,1,-0.9491,-0.0347
A/B|Flood / Rainfall,A/B,Flood / Rain,Flood / Rainfall,771,2,-0.8959,-0.0704
A/B|Flood / Rainfall,A/B,Flood / Rain,Flood / Rainfall,771,3,-0.8402,-0.1071
A/B|Flood / Rainfall,A/B,Flood / Rain,Flood / Rainfall,771,4,-0.782,-0.1447
