year,state,location_name,location_code,event_name,hazard_type,hazard_group,highest_drfa_category_group,disaster_start_date
2010,New South Wales,Albury,10050,New South Wales flooding: October 2010,Flood,Flood / Rainfall,unknown,2010-10-01
2011,New South Wales,Albury,10050,New South Wales floods: February 2011,Flood,Flood / Rainfall,unknown,2011-02-04
2012,New South Wales,Albury,10050,Southern New South Wales flooding: February to March 2012,Flood,Flood / Rainfall,unknown,2012-02-28
2013,New South Wales,Albury,10050,State-wide bushfires: January 2013,Bushfire,Bushfire,unknown,2013-01-01
2016,New South Wales,Albury,10050,NSW Inland Storms and Floods (from 30 August 2016),"Flood, Rainfall, Storm",Flood / Rainfall,unknown,2016-08-30
2022,New South Wales,Albury,10050,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),Flood,Flood / Rainfall,C/D,2022-01-05
2022,New South Wales,Albury,10050,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),Flood,Flood / Rainfall,C/D,2022-08-04
2022,New South Wales,Albury,10050,AGRN 1034 - NSW Flooding (14 September 2022 onwards),Flood,Flood / Rainfall,C/D,2022-09-14
2006,New South Wales,Armidale,10180,Armidale hailstorm: December 2006,Hailstorm,Storm,unknown,2006-12-21
2010,New South Wales,Armidale,10180,New South Wales-floods: 26 December 2010 to January 2011,Flood,Flood / Rainfall,unknown,2010-12-26
2011,New South Wales,Armidale,10180,New South Wales floods: February 2011,Flood,Flood / Rainfall,unknown,2011-02-04
2011,New South Wales,Armidale,10180,New South Wales-Mid North Coast floods: 12 to 15 June 2011,Flood,Flood / Rainfall,unknown,2011-06-12
2011,New South Wales,Armidale,10180,New South Wales-Northern New South Wales floods: 22 to 30 November 2011,Flood,Flood / Rainfall,unknown,2011-11-22
2012,New South Wales,Armidale,10180,Armidale bushfire: 20 October 2012,Bushfire,Bushfire,unknown,2012-10-20
2013,New South Wales,Armidale,10180,North Coast storms and floods: 26 January 2013,"Flood, Storm",Flood / Rainfall,unknown,2013-01-26
2013,New South Wales,Armidale,10180,East coast severe weather and floods: 19 February 2013,"Flood, Weather event",Flood / Rainfall,unknown,2013-02-19
2013,New South Wales,Armidale,10180,Severe weather (including Guyra tornadoes): 22 to 23 November 2013,"Tornado, Weather event",Storm,unknown,2013-11-22
2018,New South Wales,Armidale,10180,NSW Storms and Floods: 20 December 2018,"Flood, Storm",Flood / Rainfall,C/D,2018-12-20
2019,New South Wales,Armidale,10180,Northern NSW Bushfires: 11 February 2019 onwards,Bushfire,Bushfire,A/B,2019-02-11
2018,New South Wales,Armidale,10180,Armidale (Melrose) Bushfire: 1 December 2018 onwards,Bushfire,Bushfire,A/B,2018-12-01
2019,New South Wales,Armidale,10180,AGRN 871 - NSW Bushfires (31 August 2019 onwards),Bushfire,Bushfire,C/D,2019-08-31
2020,New South Wales,Armidale,10180,NSW Storms and Floods: 15 January 2020 onwards,"Flood, Storm",Flood / Rainfall,A/B,2020-01-15
2020,New South Wales,Armidale,10180,AGRN 936 - NSW Storms and Floods (20 October 2020 onwards),Storm,Storm,A/B,2020-10-20
2020,New South Wales,Armidale,10180,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),Storm,Storm,A/B,2020-12-10
2021,New South Wales,Armidale,10180,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),Flood,Flood / Rainfall,C/D,2021-03-10
2021,New South Wales,Armidale,10180,AGRN 979 - NSW - Armidale Storm (14 October 2021),Storm,Storm,A/B,2021-10-14
2022,New South Wales,Armidale,10180,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),Flood,Flood / Rainfall,C/D,2022-02-22
2023,New South Wales,Armidale,10180,AGRN 1071 - North Eastern NSW Bushfires (21 August 2023 onwards),Bushfire,Bushfire,A/B,2023-08-21
2023,New South Wales,Armidale,10180,AGRN 1112 - Armidale NSW Bushfires (9 December - 23 December 2023),Bushfire,Bushfire,A/B,2023-12-09
2024,New South Wales,Armidale,10180,AGRN 1119 - NSW East Coast Flooding (from 1 April 2024 onwards),Flood,Flood / Rainfall,A/B,2024-04-01
2025,New South Wales,Armidale,10180,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 6 March 2025),Cyclone,Cyclone / Tropical Low,C/D,2025-03-06
2025,New South Wales,Armidale,10180,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),Storm,Storm,C/D,2025-05-18
2025,New South Wales,Armidale,10180,AGRN 1216 - NSW Severe Weather Event (from 31 July onwards),Storm,Storm,A/B,2025-07-31
2009,New South Wales,Ballina,10250,New South Wales floods: March 2009,Flood,Flood / Rainfall,unknown,2009-03-30
