year,hazard_group,activations
2006,Cyclone / Tropical Low,6
2006,Storm,1
2007,Cyclone / Tropical Low,3
2007,Flood / Rainfall,6
2007,Other,1
2007,Storm,11
2008,Flood / Rainfall,52
2008,Storm,13
2009,Bushfire,27
2009,Flood / Rainfall,57
2010,Flood / Rainfall,277
2010,Other,8
2010,Storm,40
2011,Bushfire,54
2011,Cyclone / Tropical Low,37
2011,Flood / Rainfall,287
2011,Other,19
2011,Storm,46
2012,Bushfire,51
2012,Cyclone / Tropical Low,42
2012,Flood / Rainfall,209
2012,Storm,114
2013,Bushfire,141
2013,Cyclone / Tropical Low,28
2013,Flood / Rainfall,169
2013,Other,3
2013,Storm,48
2014,Bushfire,63
2014,Cyclone / Tropical Low,10
2014,Flood / Rainfall,105
2014,Storm,56
2015,Bushfire,36
2015,Cyclone / Tropical Low,10
2015,Flood / Rainfall,149
2015,Other,6
2015,Storm,20
2016,Bushfire,20
2016,Cyclone / Tropical Low,11
2016,Flood / Rainfall,323
2016,Storm,48
2017,Bushfire,31
2017,Flood / Rainfall,201
2017,Other,4
2017,Storm,29
2018,Bushfire,63
2018,Cyclone / Tropical Low,51
2018,Flood / Rainfall,131
2018,Other,6
2018,Storm,18
2019,Bushfire,161
2019,Cyclone / Tropical Low,25
2019,Flood / Rainfall,62
2019,Storm,30
2020,Bushfire,16
2020,Cyclone / Tropical Low,5
2020,Flood / Rainfall,215
2020,Other,10
2020,Storm,83
2021,Bushfire,2
2021,Cyclone / Tropical Low,44
2021,Flood / Rainfall,250
2021,Other,2
2021,Storm,144
2022,Bushfire,3
2022,Cyclone / Tropical Low,14
2022,Flood / Rainfall,511
2022,Storm,56
2023,Bushfire,103
2023,Cyclone / Tropical Low,21
2023,Flood / Rainfall,32
2023,Storm,143
2024,Bushfire,74
2024,Cyclone / Tropical Low,44
2024,Flood / Rainfall,145
2024,Other,2
2024,Storm,79
2025,Bushfire,66
2025,Cyclone / Tropical Low,101
2025,Flood / Rainfall,157
2025,Other,7
2025,Storm,143
2026,Bushfire,43
2026,Cyclone / Tropical Low,6
2026,Flood / Rainfall,39
2026,Other,4
2026,Storm,10
