id,title,category,year,decade,start_date,end_date,lat,lon,regions,deaths,injuries,evacuated,homeless,insured_cost,homes_destroyed,buildings_destroyed,impact_score,url
1,Environmental - South-Eastern Australia Heatwave 1939,Environmental,1939,1930,1/1/1939 0:00,1/16/1939 0:00,-33.1315155,135.5578918,Victoria;New South Wales;South Australia,400.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,http://www.emknowledge.gov.au/resource/?id=1
5,Bushfire - Sydney and Southern New South Wales,Bushfire,1939,1930,1/13/1939 0:00,1/14/1939 0:00,-34.42498398,150.8931274,New South Wales,6.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,http://www.emknowledge.gov.au/resource/?id=5
7,Bushfire - Wandilo,Bushfire,1958,1950,4/5/1958 0:00,4/6/1958 0:00,-37.73846054,140.7737122,South Australia,8.0,3.0,0.0,0.0,0.0,0.0,0.0,86.0,http://www.emknowledge.gov.au/resource/?id=7
12,Cyclone George,Cyclone,2007,2000,3/3/2007 0:00,3/8/2007 0:00,-20.31162643,118.5752563,Western Australia,3.0,20.0,0.0,0.0,8000000.0,0.0,0.0,70.0,http://www.emknowledge.gov.au/resource/?id=12
14,Hail - Hunter Valley,Hail,2006,2000,10/31/2006 0:00,10/31/2006 0:00,-32.82806015,151.6847076,New South Wales,0.0,0.0,0.0,0.0,51000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=14
17,Severe Storm -  New South Wales East Coast Low,Severe Storm,2007,2000,6/8/2007 0:00,6/10/2007 0:00,-32.92599487,151.7788696,New South Wales,9.0,0.0,6000.0,0.0,1480000000.0,0.0,0.0,390.0,http://www.emknowledge.gov.au/resource/?id=17
18,Flood - Gippsland June 2007,Flood,2007,2000,6/27/2007 0:00,7/2/2007 0:00,-38.2273941,146.7471313,Victoria,1.0,0.0,0.0,0.0,15000000.0,0.0,0.0,10.0,http://www.emknowledge.gov.au/resource/?id=18
22,Bushfire - Great Divide Complex,Bushfire,2006,2000,12/1/2006 0:00,2/7/2007 0:00,-36.71800995,147.1452179,Victoria,1.0,1400.0,0.0,0.0,0.0,51.0,0.0,2912.0,http://www.emknowledge.gov.au/resource/?id=22
23,Hail - Lismore,Hail,2007,2000,10/8/2007 0:00,10/9/2007 0:00,-28.80650711,153.276947,New South Wales,0.0,17.0,0.0,0.0,97000000.0,0.0,0.0,34.0,http://www.emknowledge.gov.au/resource/?id=23
24,Severe Storm - South-East Queensland and Northern New South Wales,Severe Storm,2007,2000,10/7/2007 0:00,10/12/2007 0:00,-28.80579758,153.2768707,Queensland,0.0,0.0,0.0,0.0,97000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=24
28,Hail - Orange,Hail,1986,1980,1/21/1986 0:00,1/21/1986 0:00,-33.28357697,149.1012726,New South Wales,0.0,0.0,0.0,0.0,25000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=28
31,Cyclone - Mackay 1918,Cyclone,1918,1910,1/20/1918 0:00,1/22/1918 0:00,-21.17188644,149.2073364,Queensland,30.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,http://www.emknowledge.gov.au/resource/?id=31
32,"Severe Storm - Hunter Valley, Tablelands and Southern Highlands",Severe Storm,1998,1990,6/23/1998 0:00,6/24/1998 0:00,-32.7326355,151.5579376,New South Wales,1.0,0.0,0.0,0.0,12000000.0,0.0,0.0,10.0,http://www.emknowledge.gov.au/resource/?id=32
34,Hail - Western Sydney,Hail,1990,1990,3/18/1990 0:00,3/18/1990 0:00,-33.91615677,151.0357513,New South Wales,0.0,25.0,0.0,100.0,319000000.0,0.0,0.0,70.0,http://www.emknowledge.gov.au/resource/?id=34
35,Severe Storm - Sydney Jan 1937,Severe Storm,1937,1930,1/25/1937 0:00,1/25/1937 0:00,-33.8731575,151.2069397,New South Wales,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,http://www.emknowledge.gov.au/resource/?id=35
36,Bushfire - Dandenong Ranges and Mornington Peninsula,Bushfire,1997,1990,1/19/1997 0:00,1/21/1997 0:00,-37.88122559,145.3422699,Victoria,3.0,40.0,800.0,0.0,29000000.0,43.0,0.0,236.0,http://www.emknowledge.gov.au/resource/?id=36
