id,title,category,year,lat,lon,regions,deaths,injuries,evacuated,homeless,homes_destroyed,buildings_destroyed,impact_score,url
386,Cyclone Tracy,Cyclone,1974,-12.46484184,130.837616,Northern Territory,71.0,650.0,35362.0,41000.0,5000.0,0.0,21978.1,http://www.emknowledge.gov.au/resource/?id=386
131,Bushfire - Ash Wednesday,Bushfire,1983,-37.40233612,144.5871124,Victoria;South Australia,75.0,1500.0,0.0,9000.0,2000.0,0.0,9550.0,http://www.emknowledge.gov.au/resource/?id=131
482,"Bushfire - Black Saturday, Victoria 2009",Bushfire,2009,-37.56237411,145.3191986,Victoria,173.0,414.0,0.0,0.0,2029.0,0.0,6616.0,http://www.emknowledge.gov.au/resource/?id=482
416,Flood - Hunter Valley,Flood,1955,-31.82798195,147.7187347,New South Wales,24.0,0.0,40000.0,15000.0,58.0,0.0,5356.0,http://www.emknowledge.gov.au/resource/?id=416
621,Environmental - Heatwave Dec 1938,Environmental,1938,-37.80978394,144.9536133,Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Northern Territory;Tasmania;Victoria,438.0,0.0,0.0,0.0,0.0,0.0,4380.0,http://www.emknowledge.gov.au/resource/?id=621
1,Environmental - South-Eastern Australia Heatwave 1939,Environmental,1939,-33.1315155,135.5578918,Victoria;New South Wales;South Australia,400.0,0.0,0.0,0.0,0.0,0.0,4000.0,http://www.emknowledge.gov.au/resource/?id=1
483,Environmental - South-Eastern Australia Heatwave 2009,Environmental,2009,-37.81310654,144.9633942,South Australia;Victoria,374.0,0.0,0.0,0.0,0.0,0.0,3740.0,http://www.emknowledge.gov.au/resource/?id=483
154,Bushfire - Black Tuesday Tasmania,Bushfire,1967,-43.16512299,146.2417603,Tasmania,62.0,0.0,0.0,0.0,1400.0,0.0,3420.0,http://www.emknowledge.gov.au/resource/?id=154
343,Cyclone - Rockhampton,Cyclone,1949,-23.66465187,150.8230591,Queensland,4.0,0.0,0.0,300.0,1500.0,0.0,3100.0,http://www.emknowledge.gov.au/resource/?id=343
22,Bushfire - Great Divide Complex,Bushfire,2006,-36.71800995,147.1452179,Victoria,1.0,1400.0,0.0,0.0,51.0,0.0,2912.0,http://www.emknowledge.gov.au/resource/?id=22
350,Bushfire - Black Friday,Bushfire,1939,-37.56360245,145.4637756,Australian Capital Territory;New South Wales;Victoria;South Australia;Tasmania,71.0,0.0,0.0,0.0,1000.0,0.0,2710.0,http://www.emknowledge.gov.au/resource/?id=350
617,Environmental - Heatwave Dec 1907,Environmental,1907,-27.47077179,153.0236359,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,246.0,0.0,0.0,0.0,0.0,0.0,2460.0,http://www.emknowledge.gov.au/resource/?id=617
627,Bushfire - Canberra 2003,Bushfire,2003,-35.34656525,149.035675,Australian Capital Territory,4.0,435.0,0.0,0.0,488.0,0.0,1886.0,http://www.emknowledge.gov.au/resource/?id=627
360,Cyclone - Balla Balla,Cyclone,1912,-20.6311779,117.7265778,Western Australia,173.0,0.0,0.0,0.0,0.0,0.0,1730.0,http://www.emknowledge.gov.au/resource/?id=360
245,Bushfire - Black Christmas,Bushfire,2001,-35.05125809,150.6684265,New South Wales;Australian Capital Territory,0.0,0.0,11000.0,0.0,109.0,443.0,1654.0,http://www.emknowledge.gov.au/resource/?id=245
